"mz_10eV","10 ev","mz_20eV","20 ev","mz_40eV","40 ev"
"438.1746","9.064e1","226.2505","2.100e1","151.0575","3.503e1"
"438.1953","3.200e1","227.0549","3.700e1","151.1003","7.367e2"
"438.4548","3.000e1","227.0937","3.210e2","151.1273","9.801e1"
"438.6008","4.600e1","227.6079","2.500e1","151.2865","2.700e1"
"438.6457","7.465e1","227.7225","9.400e1","151.8108","5.000e1"
"438.6676","4.539e1","228.5922","4.800e1","152.0834","2.782e3"
"438.6830","5.130e1","228.7181","2.300e1","152.1060","1.042e2"
"438.8610","2.500e1","230.3725","5.600e1","152.3416","3.100e1"
"439.0242","7.500e1","230.9152","6.200e1","152.4576","6.900e1"
"439.1100","2.100e1","231.1002","2.547e1","152.6231","3.500e1"
"439.1602","9.400e1","231.1130","9.603e1","153.0170","3.500e1"
"439.2083","2.000e1","232.0930","4.900e1","153.0657","5.716e2"
"439.6589","2.200e1","232.1445","7.194e2","153.0867","3.053e2"
"440.1353","2.200e1","232.4157","2.000e1","153.1106","1.353e2"
"440.1675","2.100e1","233.0256","2.200e1","153.1228","8.800e1"
"440.4580","2.700e1","233.1434","3.700e1","154.0259","1.222e1"
"440.5355","2.400e1","233.4829","2.100e1","154.0417","2.376e1"
"440.6676","2.100e1","234.0981","2.500e1","154.0651","1.303e3"
"441.1523","2.100e1","235.0361","2.400e1","154.0991","6.680e2"
"441.2193","2.900e1","235.0650","4.900e1","154.9510","5.400e1"
"442.0173","2.000e1","235.0854","5.300e1","155.0463","4.745e3"
"442.1131","2.700e1","235.1074","5.200e1","155.0835","2.432e3"
"442.3131","2.400e1","236.0108","2.100e1","155.1308","2.312e1"
"442.3494","2.300e1","236.0686","4.900e1","156.0213","6.998e1"
"442.5094","6.400e1","237.4478","2.700e1","156.0507","1.435e2"
"442.8854","2.100e1","238.0724","4.400e1","156.0793","2.453e3"
"443.0001","2.400e1","238.1190","2.700e1","156.8639","2.500e1"
"443.5113","6.200e1","239.1219","3.300e1","156.9915","6.300e1"
"443.5707","2.200e1","239.4299","2.100e1","157.0195","6.049e1"
"443.6548","2.100e1","239.4979","2.300e1","157.0631","2.052e4"
"443.7248","2.400e1","240.0608","5.400e1","157.1095","1.105e3"
"444.2821","2.200e1","240.0988","4.500e1","157.1565","7.796e1"
"444.3006","4.500e1","240.1591","2.700e1","157.1718","6.067e1"
"444.3198","2.600e1","241.0772","2.081e1","157.2562","2.400e1"
"444.3358","2.200e1","241.0891","2.383e1","157.5946","3.400e1"
"444.8848","4.500e1","241.0977","5.872e1","157.6425","2.100e1"
"445.1904","2.200e1","241.1085","2.777e1","157.8073","3.900e1"
"446.4121","2.000e1","241.2231","1.160e2","158.0538","3.254e2"
"446.8714","4.100e1","241.6282","2.900e1","158.0693","5.439e2"
"446.8959","4.700e1","241.8200","2.300e1","158.0940","1.248e4"
"447.6077","2.700e1","242.0774","2.300e1","158.1252","3.510e1"
"447.7521","2.100e1","242.0923","4.700e1","158.1469","8.232e1"
"447.9261","2.200e1","242.1270","3.980e2","158.1668","3.965e1"
"447.9675","2.000e1","242.5052","2.000e1","158.3073","2.100e1"
"448.0752","2.000e1","242.6822","2.100e1","158.4508","2.100e1"
"448.3139","2.800e1","243.1092","7.240e3","158.5970","2.100e1"
"449.0879","3.600e1","243.3106","4.600e1","158.7044","2.600e1"
"449.7527","2.700e1","243.8286","2.300e1","159.0200","1.235e1"
"449.8551","2.000e1","243.9963","2.300e1","159.0938","1.053e3"
"450.1353","2.700e1","244.1063","1.128e3","159.1180","6.948e1"
"450.1926","2.300e1","244.3028","2.100e1","159.8014","2.200e1"
"450.3497","2.500e1","245.0996","7.400e1","159.9747","2.800e1"
"450.4107","2.100e1","245.1270","5.700e1","160.0368","1.819e1"
"450.4691","2.100e1","245.1647","2.500e1","160.0741","1.117e3"
"450.6349","2.100e1","245.2047","2.100e1","160.1016","1.335e2"
"450.7244","2.600e1","245.7226","2.400e1","160.2026","2.100e1"
"450.8446","2.700e1","246.0978","2.126e1","160.2658","3.600e1"
"451.3828","3.000e1","246.1166","3.719e1","161.0597","4.308e2"
"451.5119","2.000e1","246.6175","3.300e1","161.0814","2.643e1"
"451.5376","2.600e1","247.7953","4.000e1","161.1418","2.300e1"
"451.5913","5.500e1","248.0824","2.050e2","161.9279","2.200e1"
"451.8596","4.200e1","248.1206","2.300e1","162.0556","1.627e1"
"451.9279","2.100e1","249.0952","2.338e1","162.0675","2.354e2"
"452.0291","2.200e1","249.1129","5.982e1","162.0909","6.361e0"
"452.0812","3.000e1","250.0132","2.100e1","162.8938","2.800e1"
"452.3367","2.700e1","250.0779","1.400e2","163.0524","1.097e3"
