"mz_10eV","10 ev","mz_25eV","25 ev","mz_40eV","40 ev"
"671.6646","2.600e1","416.5724","4.200e1","425.4502","2.500e1"
"671.8160","2.100e1","416.6603","2.000e1","427.0224","2.300e1"
"672.2036","5.300e1","416.8471","3.400e1","427.2865","2.400e1"
"672.3575","2.000e1","416.9716","2.200e1","428.0835","3.453e1"
"672.8782","2.300e1","417.0865","2.600e1","428.1429","2.400e1"
"673.1860","2.300e1","417.1364","2.000e1","428.1789","3.800e1"
"673.2357","2.000e1","417.1881","3.684e1","429.0347","2.300e1"
"673.3657","2.200e1","417.2611","2.704e2","429.1122","2.100e1"
"674.3365","4.200e1","417.7045","2.900e1","429.1486","2.200e1"
"677.6656","2.800e1","417.9962","7.100e1","431.0161","3.000e1"
"678.3494","2.000e1","418.0749","2.400e1","431.5343","2.100e1"
"679.4818","2.400e1","418.1628","2.194e2","431.9623","2.700e1"
"679.7004","5.900e1","418.1865","3.503e1","433.0936","2.400e1"
"680.3364","2.100e1","418.2459","3.594e1","433.9450","2.800e1"
"681.7221","2.000e1","418.7316","2.200e1","434.1053","2.100e1"
"682.8386","2.500e1","418.7633","2.400e1","434.1464","2.200e1"
"685.7386","2.400e1","419.1492","4.107e1","435.2169","2.400e1"
"687.3826","4.200e1","419.2010","2.128e1","436.2198","2.000e1"
"687.8351","8.200e1","419.2412","5.655e1","437.1092","2.000e1"
"689.6917","2.700e1","419.2898","2.500e1","437.2643","2.300e1"
"689.8409","2.800e1","419.7140","3.300e1","438.1038","3.000e1"
"690.8542","2.900e1","419.7817","2.400e1","438.1280","4.400e1"
"691.3416","2.300e1","420.0103","2.100e1","438.2101","2.100e1"
"691.6552","4.800e1","420.0575","2.400e1","438.8470","2.200e1"
"691.7358","2.900e1","420.1044","3.200e1","439.2923","3.100e1"
"692.8043","3.500e1","420.1361","2.200e1","439.7354","2.200e1"
"693.2620","2.100e1","420.2130","4.838e1","440.0887","2.500e1"
"694.3390","3.400e1","420.2675","2.053e1","441.0236","2.100e1"
"695.2941","5.500e1","420.7406","4.800e1","441.1138","2.600e1"
"696.5609","2.500e1","420.7785","3.400e1","441.1642","2.700e1"
"696.8365","2.500e1","421.1429","2.900e1","441.8038","2.900e1"
"697.9073","2.500e1","421.1685","1.745e1","442.0667","2.200e1"
"698.3246","2.200e1","421.2280","3.085e1","443.2811","6.100e1"
"698.8465","2.300e1","421.2677","2.643e1","444.0925","3.000e1"
"699.3640","2.300e1","421.6832","3.000e1","444.5373","3.600e1"
"699.6237","5.800e1","421.7192","2.600e1","444.9673","3.100e1"
"700.2758","7.700e1","421.7552","3.600e1","445.1237","2.100e1"
"700.3346","2.000e1","422.0075","4.300e1","445.1670","2.000e1"
"703.8483","9.600e1","422.0591","2.100e1","446.1323","4.520e1"
"704.5224","2.400e1","422.0935","2.700e1","446.1785","3.000e1"
"705.3608","5.200e1","422.1628","1.873e1","447.1580","2.200e1"
"705.8579","2.200e1","422.1835","1.414e1","448.1601","2.700e1"
"706.8014","2.600e1","422.2022","8.118e1","449.9561","2.000e1"
"706.8357","2.400e1","422.6273","3.400e1","451.1952","6.700e1"
"707.5834","3.400e1","422.6881","2.100e1","452.2651","3.300e1"
"708.0844","4.100e1","423.1098","2.900e1","452.9765","2.700e1"
"708.8646","2.700e1","423.1447","5.002e1","453.9164","2.400e1"
"708.9037","2.600e1","423.1787","1.714e1","455.8999","5.100e1"
"709.2263","1.180e2","423.9002","2.100e1","456.3085","2.600e1"
